Exoplanet Archive Disposition,Orbital Period [days],Disposition Score,Planet-Star Radius Ratio,Planetary Radius [Earth radii],Orbit Semi-Major Axis [au],Inclination [deg],Equilibrium Temperature [K],Insolation Flux [Earth flux],Stellar Effective Temperature [K],Stellar Surface Gravity [log10(cm/s**2)],Stellar Metallicity [dex],Stellar Radius [Solar radii],Stellar Mass [Solar mass],Eccentricity,Transit Depth [ppm],Transit Duration [hrs],Transit Signal-to-Noise,Number of Transits,Not Transit-Like False Positive Flag,Stellar Eclipse False Positive Flag,Centroid Offset False Positive Flag,Ephemeris Match Indicates Contamination False Positive Flag
CONFIRMED,17.6700291,1.0,0.021247,2.89,0.1348,83.69,778.0,86.37,5795.0,4.265,0.16,1.247,1.042,0.0,348.4,6.693,25.0,61.0,0,0,0,0
CANDIDATE,15.40877383,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,3.49,23.0,385.00676798860127,0,0,0,0
CONFIRMED,108.593113,1.0,0.016727,1.68,0.4126,90.0,374.0,4.64,5678.0,4.409,-0.4,0.921,0.794,0.0,338.2,7.989,24.3,12.0,0,0,0,0
CONFIRMED,19.9865916,1.0,0.031224,4.22,0.1404,85.75,720.0,63.67,5500.0,4.218,0.14,1.238,0.922,0.0,648.0,4.391,21.8,68.0,0,0,0,0
CONFIRMED,12.12580644,0.959,0.018511,2.5,0.1007,87.38,851.0,123.78,5500.0,4.218,0.14,1.238,0.922,0.0,327.5,3.289,14.0,105.0,0,0,0,0
CONFIRMED,76.421501,0.994,0.021656,2.81,0.3462,89.99,455.0,10.11,5561.0,4.263,0.16,1.19,0.946,0.0,578.4,7.218,23.9,19.0,0,0,0,0
CONFIRMED,56.2590881,1.0,0.017091,2.22,0.287,89.97,543.0,20.49,6038.0,4.284,-0.16,1.191,0.995,0.0,348.8,8.114,29.7,22.0,0,0,0,0
CONFIRMED,1.646801683,0.997,0.01543,0.86,0.0223,89.3,806.0,99.8,3810.0,4.753,-0.02,0.513,0.543,0.0,284.2,1.1966,25.2,807.0,0,0,0,0
CONFIRMED,3.78861833,0.996,0.010833,1.23,0.0467,88.98,1158.0,424.17,5560.0,4.379,0.16,1.04,0.943,0.0,143.4,2.808,18.2,285.0,0,0,0,0
CONFIRMED,10.45839865,1.0,0.015375,1.25,0.0845,89.98,609.0,32.45,4641.0,4.557,0.16,0.747,0.734,0.0,306.8,3.154,18.6,103.0,0,0,0,0
CONFIRMED,21.1033014,0.998,0.012695,1.56,0.1528,89.91,718.0,62.99,6000.0,4.363,0.06,1.126,1.068,0.0,192.5,2.059,21.3,62.0,0,0,0,0
CONFIRMED,95.6114617,0.99,0.020097,2.37,0.4267,89.97,421.0,7.45,6002.0,4.424,0.2,1.081,1.135,0.0,487.4,7.489,21.6,14.0,0,0,0,0
CANDIDATE,58.35512552,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,8.45,23.0,385.00676798860127,0,0,0,0
CANDIDATE,1.204686597,1.0,0.014218,1.55,0.0222,88.25,1711.0,2026.81,5780.0,4.438,0.0,1.0,1.0,0.0,233.2,0.823,10.8,1108.0,0,0,0,0
CONFIRMED,11.8984948,0.951,0.011851,1.69,0.1012,87.21,929.0,176.27,5862.0,4.194,-0.1,1.307,0.973,0.0,130.9,3.015,15.9,89.0,0,0,0,0
CONFIRMED,23.1274171,0.997,0.012395,1.44,0.1602,88.31,667.0,46.89,5865.0,4.393,0.07,1.066,1.024,0.0,157.3,4.901,20.9,54.0,0,0,0,0
CONFIRMED,5.132486123,1.0,0.026773,1.69,0.0497,89.54,584.0,27.41,3879.0,4.707,0.32,0.578,0.619,0.0,908.4,1.4575,35.4,217.0,0,0,0,0
CONFIRMED,8.77997349,1.0,0.025421,2.12,0.0787,88.54,713.0,61.24,5191.0,4.597,-0.06,0.764,0.85,0.0,755.7,3.2201,32.7,156.0,0,0,0,0
CONFIRMED,57.6896212,0.981,0.044886,5.14,0.3025,88.74,512.0,16.19,6228.0,4.441,-0.08,1.049,1.107,0.0,1626.6,5.118,30.2,20.0,0,0,0,0
CONFIRMED,10.66489514,0.995,0.015773,1.76,0.0961,89.29,865.0,132.15,6014.0,4.436,-0.04,1.021,1.037,0.0,292.6,3.159,25.3,125.0,0,0,0,0
CONFIRMED,5.1233204,1.0,0.015347,1.65,0.0556,88.72,994.0,231.12,5364.0,4.394,0.14,0.982,0.872,0.0,286.2,2.7466,25.1,255.0,0,0,0,0
CONFIRMED,3.573202801,1.0,0.049237,5.81,0.0457,89.69,1210.0,507.91,5646.0,4.37,0.22,1.08,0.996,0.0,2975.0,2.88,362.1,378.0,0,0,0,0
CONFIRMED,61.6174528,0.997,0.033006,3.36,0.302,89.96,424.0,7.67,5480.0,4.485,0.24,0.931,0.966,0.0,1350.7,3.816,19.5,14.0,0,0,0,0
CONFIRMED,24.3398202,1.0,0.031817,5.09,0.1644,87.53,737.0,69.79,5596.0,4.105,0.14,1.466,0.998,0.0,777.3,3.891,27.8,47.0,0,0,0,0
CONFIRMED,7.16520428,0.984,0.019138,2.31,0.0765,89.75,1034.0,270.34,6174.0,4.417,0.1,1.103,1.162,0.0,433.8,1.705,17.6,181.0,0,0,0,0
CONFIRMED,1.755843555,0.999,0.021444,1.94,0.0277,75.45,1343.0,771.02,5569.0,4.566,-0.08,0.829,0.928,0.0,386.0,1.9425,25.1,765.0,0,0,0,0
CONFIRMED,5.18560081,1.0,0.014547,2.34,0.0631,89.93,1314.0,705.79,6172.0,4.198,0.16,1.471,1.25,0.0,252.6,4.054,27.6,261.0,0,0,0,0
CONFIRMED,33.4698571,1.0,0.020478,2.45,0.2006,88.22,609.0,32.52,5912.0,4.342,-0.14,1.094,0.96,0.0,370.7,4.749,23.2,43.0,0,0,0,0
CONFIRMED,11.89520436,1.0,0.012286,1.33,0.0994,89.86,787.0,90.77,5649.0,4.411,0.0,0.992,0.923,0.0,184.3,3.433,22.3,113.0,0,0,0,0
CONFIRMED,1.025857984,1.0,0.016977,1.57,0.0187,83.02,1520.0,1264.7,5123.0,4.501,0.14,0.847,0.828,0.0,270.7,0.8069,36.0,1302.0,0,0,0,0
CONFIRMED,5.60013327,1.0,0.01622,1.73,0.0587,89.84,952.0,194.26,5288.0,4.391,0.18,0.978,0.858,0.0,329.2,2.6508,22.8,236.0,0,0,0,0
CONFIRMED,25.2034128,0.407,0.024063,2.42,0.1693,89.78,600.0,30.62,5831.0,4.517,0.0,0.921,1.016,0.0,697.1,4.515,22.3,56.0,0,0,0,0
CONFIRMED,1.615357809,0.949,0.025766,1.37,0.0213,78.69,806.0,99.32,3821.0,4.755,-0.28,0.486,0.49,0.0,499.6,1.1435,31.2,822.0,0,0,0,0
CONFIRMED,5.640676975,1.0,0.034594,4.59,0.0627,89.88,1125.0,379.36,5794.0,4.282,0.14,1.216,1.032,0.0,1453.3,2.8354,145.9,242.0,0,0,0,0
CONFIRMED,25.5638626,1.0,0.034909,4.0,0.1758,88.02,671.0,47.94,6228.0,4.441,-0.08,1.049,1.107,0.0,1124.9,4.685,31.6,42.0,0,0,0,0
CANDIDATE,6.78341325,0.999,0.021665,20.75,0.0641,86.65,2628.0,11295.61,5096.0,2.435,-1.52,8.769,0.763,0.0,501.2,3.5437,35.3,168.0,0,0,0,0
CONFIRMED,12.7945474,1.0,0.025596,1.6,0.0899,89.64,455.0,10.1,4090.0,4.696,-0.18,0.571,0.591,0.0,816.7,3.4197,54.1,94.0,0,0,0,0
CONFIRMED,42.4269647,0.974,0.031124,3.44,0.2274,87.3,496.0,14.33,5330.0,4.366,0.18,1.013,0.869,0.0,632.4,5.907,26.0,33.0,0,0,0,0
CONFIRMED,1.434745129,0.998,0.012886,1.5,0.0252,88.96,1664.0,1813.0,5806.0,4.4,0.16,1.064,1.037,0.0,200.7,1.862,28.4,933.0,0,0,0,0
CANDIDATE,6.95787,0.0,0.012454,1.39,0.0708,89.38,1047.0,284.4,6240.0,4.406,-0.38,1.025,0.975,0.0,182.3,4.537,1.8,385.00676798860127,0,0,0,0
CONFIRMED,3.28192056,0.993,0.012619,1.6,0.0442,88.5,1326.0,728.9,5859.0,4.335,0.16,1.162,1.064,0.0,191.0,2.917,24.5,407.0,0,0,0,0
CONFIRMED,12.51610549,1.0,0.014724,1.87,0.1078,89.93,848.0,122.54,5859.0,4.335,0.16,1.162,1.064,0.0,263.0,4.853,22.6,101.0,0,0,0,0
CONFIRMED,5.45298742,0.897,0.010028,0.92,0.0595,84.83,904.0,158.12,5450.0,4.563,0.1,0.842,0.944,0.0,86.0,2.1328,21.0,245.0,0,0,0,0
CONFIRMED,3.26662733,0.961,0.007398,0.68,0.0423,86.3,1072.0,312.85,5450.0,4.563,0.1,0.842,0.944,0.0,59.9,2.056,18.6,393.0,0,0,0,0
CONFIRMED,4.45743267,1.0,0.011751,0.79,0.0448,89.31,732.0,67.7,4487.0,4.644,-0.44,0.612,0.601,0.0,175.7,2.3226,20.8,300.0,0,0,0,0
CONFIRMED,2.81814715,0.895,0.015134,1.3,0.0364,88.52,1059.0,298.2,5167.0,4.555,-0.04,0.787,0.812,0.0,278.6,1.763,16.5,472.0,0,0,0,0
CANDIDATE,9.4907638,0.0,0.012848,1.05,0.082,89.38,704.0,58.01,5290.0,4.604,-0.22,0.746,0.821,0.0,197.4,2.713,7.3,385.00676798860127,0,0,0,0
CANDIDATE,0.76196247,0.99,0.012566,1.08,0.0152,85.82,1638.0,1710.11,5167.0,4.555,-0.04,0.787,0.812,0.0,190.2,1.282,18.3,1643.0,0,0,0,0
FALSE POSITIVE,1.824649,0.0,0.061323,5.31,0.026,64.33,1508.0,1222.28,6190.0,4.487,-1.94,0.793,0.704,0.0,3218.5,4.2285,184.3,589.0,0,1,1,1
CONFIRMED,2.832647249,0.989,0.009889,1.37,0.0403,87.57,1453.0,1054.98,5865.0,4.266,0.16,1.272,1.088,0.0,114.7,2.306,27.5,473.0,0,0,0,0
CONFIRMED,3.70063251,0.994,0.008108,1.24,0.0455,79.31,1329.0,737.02,5423.0,4.105,0.08,1.404,0.915,0.0,68.6,5.408,29.8,362.0,0,0,0,0
CONFIRMED,3.93083997,0.97,0.009264,1.2,0.0487,88.74,1317.0,711.45,6038.0,4.284,-0.16,1.191,0.995,0.0,101.4,2.932,22.0,340.0,0,0,0,0
CONFIRMED,7.63008196,0.995,0.010695,1.39,0.0758,87.84,1056.0,293.67,6038.0,4.284,-0.16,1.191,0.995,0.0,124.0,2.78,18.6,163.0,0,0,0,0
CONFIRMED,16.22378479,0.993,0.014927,1.51,0.1212,89.48,676.0,49.35,5547.0,4.46,0.0,0.925,0.9,0.0,262.3,2.5462,20.6,85.0,0,0,0,0
CONFIRMED,9.76293284,0.991,0.021757,1.94,0.0821,88.68,703.0,57.59,5052.0,4.503,0.02,0.816,0.773,0.0,553.2,3.064,23.6,137.0,0,0,0,0
CONFIRMED,58.601926,0.919,0.018557,2.06,0.2996,89.71,508.0,15.8,6250.0,4.44,-0.22,1.019,1.038,0.0,396.4,5.522,19.1,19.0,0,0,0,0
CONFIRMED,25.0823402,0.816,0.01637,2.26,0.1685,86.89,776.0,85.76,6429.0,4.241,-0.46,1.262,1.011,0.0,244.6,6.423,30.5,40.0,0,0,0,0
CONFIRMED,78.0998908,0.995,0.024047,3.37,0.3625,89.51,480.0,12.52,5779.0,4.238,0.16,1.284,1.039,0.0,656.9,8.422,23.8,19.0,0,0,0,0
CONFIRMED,4.27103727,0.98,0.012297,1.22,0.0514,89.92,1108.0,356.54,5984.0,4.521,-0.2,0.906,0.993,0.0,180.4,2.2759,24.6,316.0,0,0,0,0
CONFIRMED,4.27226421,0.649,0.006951,0.64,0.0506,85.95,981.0,218.63,5450.0,4.563,0.1,0.842,0.944,0.0,48.9,2.113,13.7,277.0,0,0,0,0
CANDIDATE,2.19251903,0.993,0.004065,0.37,0.0324,85.12,1225.0,533.25,5450.0,4.563,0.1,0.842,0.944,0.0,18.1,1.845,6.6,524.0,0,0,0,0
CONFIRMED,3.53232429,0.996,0.013699,1.43,0.0459,88.19,1159.0,427.65,5761.0,4.492,0.14,0.956,1.035,0.0,224.2,2.765,12.8,384.0,0,0,0,0
FALSE POSITIVE,15.03946326,0.0,0.07857,12.36,0.128,86.13,962.0,202.6,6501.0,4.212,-0.1,1.441,1.236,0.0,5237.7,5.1008,181.6,74.0,0,1,1,1
FALSE POSITIVE,4.702495974,0.0,0.388365,37.24,0.0519,79.93,981.0,219.08,5408.0,4.476,-0.06,0.878,0.842,0.0,4787.3,2.3421,101.1,230.0,0,1,0,0
CONFIRMED,10.44087398,1.0,0.031855,3.41,0.0915,84.89,829.0,111.52,5738.0,4.426,-0.06,0.981,0.936,0.0,821.5,3.743,22.2,103.0,0,0,0,0
CANDIDATE,39.7557642,0.582,0.245914,13.72,0.1827,88.25,325.0,2.64,4405.0,4.732,-1.1,0.511,0.513,0.0,621.8,1.958,10.2,33.0,0,0,0,0
CANDIDATE,10.27127527,0.988,0.016888,0.94,0.0741,89.9,510.0,16.02,4405.0,4.732,-1.1,0.511,0.513,0.0,343.5,3.029,17.5,128.0,0,0,0,0
CONFIRMED,12.5722897,0.991,0.008561,1.09,0.1072,89.27,886.0,145.82,6084.0,4.319,-0.06,1.169,1.037,0.0,86.5,4.765,12.4,107.0,0,0,0,0
CONFIRMED,40.8366307,0.983,0.014897,1.5,0.2237,89.65,496.0,14.3,5529.0,4.457,0.0,0.925,0.893,0.0,264.8,4.956,18.7,26.0,0,0,0,0
FALSE POSITIVE,11.7761073,0.0,0.017456,1.31,0.0908,87.47,619.0,34.75,5096.0,4.618,-0.4,0.689,0.719,0.0,281.3,2.829,15.1,97.0,0,0,1,1
FALSE POSITIVE,29.7123181,0.0,0.221351,46.43,0.2049,31.46,870.0,135.31,6440.0,3.984,-0.14,1.921,1.299,0.0,385.4,70.3707,130.0,47.0,1,0,0,0
CONFIRMED,20.6180348,0.993,0.024893,1.57,0.1228,89.82,359.0,3.92,3757.0,4.681,0.48,0.576,0.581,0.0,769.5,3.267,16.3,50.0,0,0,0,0
CONFIRMED,19.9401211,0.952,0.029059,2.42,0.1357,87.53,588.0,28.29,5623.0,4.596,-0.4,0.763,0.853,0.0,758.9,4.283,18.0,67.0,0,0,0,0
CONFIRMED,22.2420032,0.991,0.008612,2.04,0.1655,85.08,954.0,195.54,5979.0,3.854,-0.12,2.164,1.219,0.0,63.5,7.532,16.2,61.0,0,0,0,0
CONFIRMED,3.88148385,0.957,0.005515,0.59,0.0488,88.66,1156.0,423.0,5854.0,4.469,0.06,0.979,1.03,0.0,36.3,2.679,11.9,348.0,0,0,0,0
CONFIRMED,0.577369336,1.0,0.01816,1.42,0.0125,89.56,1757.0,2239.26,5255.0,4.617,-0.34,0.716,0.776,0.0,400.4,1.0852,68.3,1850.0,0,0,0,0
FALSE POSITIVE,186.65435483,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,10.51,23.0,385.00676798860127,1,0,0,0
CONFIRMED,12.720370263,1.0,0.03461,4.75,0.1101,88.12,934.0,180.23,6267.0,4.28,-0.06,1.258,1.097,0.0,1180.1,2.7306,485.5,111.0,0,0,0,0
FALSE POSITIVE,86.59322294,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,7.98,23.0,385.00676798860127,0,0,0,0
CONFIRMED,11.96407399,1.0,0.030548,3.21,0.0997,84.85,808.0,100.96,5903.0,4.437,-0.26,0.961,0.922,0.0,784.2,4.526,22.9,52.0,0,0,0,0
FALSE POSITIVE,2.493237866,0.0,0.021013,9.48,0.04,66.07,2241.0,5975.48,5002.0,3.344,-0.06,4.131,1.375,0.0,259.2,2.644,20.7,431.0,0,0,1,0
CONFIRMED,12.90467523,1.0,0.018884,1.49,0.0962,88.77,545.0,20.91,4513.0,4.574,0.16,0.722,0.712,0.0,412.4,3.28,21.2,100.0,0,0,0,0
CONFIRMED,68.8861017,0.939,0.010983,1.47,0.3133,89.84,501.0,14.91,5753.0,4.2,-0.28,1.222,0.863,0.0,143.9,5.925,19.5,21.0,0,0,0,0
CONFIRMED,9.99115241,0.998,0.019277,1.68,0.0833,88.16,660.0,44.77,4838.0,4.524,0.18,0.796,0.771,0.0,391.7,2.657,16.7,102.0,0,0,0,0
CANDIDATE,4.267961416,1.0,0.010492,1.42,0.0524,89.39,1371.0,834.16,6395.0,4.275,-0.28,1.237,1.048,0.0,127.4,1.3427,24.6,313.0,0,0,0,0
CONFIRMED,36.292017,0.987,0.01758,3.1,0.2226,90.0,694.0,54.91,5843.0,4.069,0.14,1.615,1.115,0.0,374.7,8.198,21.4,36.0,0,0,0,0
FALSE POSITIVE,0.925589891,0.0,0.018924,50.6,0.0181,78.23,6637.0,460202.18,4094.0,1.627,-0.04,24.488,0.925,0.0,400.8,1.967,20.6,1443.0,0,1,0,0
CONFIRMED,17.25121397,1.0,0.044983,2.64,0.1063,89.09,385.0,5.17,3879.0,4.708,-0.12,0.537,0.537,0.0,2054.8,2.0371,68.6,73.0,0,0,0,0
FALSE POSITIVE,1.867281146,0.0,0.278578,31.18,0.0306,22.51,1561.0,1405.94,6117.0,4.457,-0.02,1.025,1.095,0.0,701.1,7.495,58.5,611.0,1,0,1,0
CONFIRMED,9.30991834,1.0,0.010094,1.21,0.0866,88.19,913.0,164.38,5806.0,4.353,0.06,1.101,0.996,0.0,114.5,3.455,19.2,145.0,0,0,0,0
CANDIDATE,18.1209388,0.999,0.019889,1.68,0.1228,89.83,543.0,20.58,4905.0,4.536,0.02,0.774,0.75,0.0,504.2,3.781,15.8,48.0,0,0,0,0
CONFIRMED,3.23941775,1.0,0.008203,0.77,0.0419,87.54,1213.0,511.14,6075.0,4.541,-0.46,0.858,0.934,0.0,77.4,2.569,17.2,409.0,0,0,0,0
CANDIDATE,3.98864999,0.993,0.008903,1.15,0.0492,87.52,1233.0,547.73,5692.0,4.288,0.16,1.188,0.997,0.0,94.2,3.516,12.4,341.0,0,0,0,0
CONFIRMED,2.524017517,0.97,0.01576,1.5,0.0344,89.73,1203.0,495.14,5420.0,4.487,-0.06,0.871,0.849,0.0,303.0,1.1968,19.8,524.0,0,0,0,0
CANDIDATE,25.1123362,0.651,0.018288,2.22,0.1707,89.98,691.0,53.73,6133.0,4.367,-0.06,1.112,1.049,0.0,398.8,7.922,11.8,19.0,0,0,0,0
CANDIDATE,2.121023807,0.0,0.047334,5.75,0.0329,85.37,1573.0,1446.5,6133.0,4.367,-0.06,1.112,1.049,0.0,263.9,0.3673,6.4,385.00676798860127,0,0,0,0
CANDIDATE,33.18089453,0.0,0.021076,102.89177806760134,0.0851,88.5,1085.3858276274318,141.6,5706.8232800782525,4.438,-0.1,1.0,0.974,0.0,421.1,15.24,23.0,385.00676798860127,0,0,0,0
CANDIDATE,3.55557922,1.0,0.007131,0.84,0.0445,88.11,1270.0,615.03,5839.0,4.337,-0.16,1.082,0.926,0.0,60.4,3.24,15.5,383.0,0,0,0,0
CONFIRMED,31.2012202,1.0,0.018653,1.47,0.1734,89.04,406.0,6.44,4513.0,4.574,0.16,0.722,0.712,0.0,360.1,4.077,13.7,44.0,0,0,0,0
CONFIRMED,22.5968256,0.972,0.010811,1.3,0.1505,89.87,670.0,47.7,5610.0,4.301,-0.04,1.104,0.889,0.0,142.9,6.179,22.2,60.0,0,0,0,0
CONFIRMED,45.3486381,0.973,0.013356,1.61,0.2395,88.78,531.0,18.84,5610.0,4.301,-0.04,1.104,0.889,0.0,162.9,4.858,15.9,31.0,0,0,0,0
CONFIRMED,5.25419589,1.0,0.019706,2.12,0.0602,89.97,1093.0,338.15,6123.0,4.472,-0.14,0.987,1.053,0.0,461.8,2.9878,26.1,212.0,0,0,0,0
CONFIRMED,5.90608902,1.0,0.016855,1.77,0.065,89.93,1012.0,247.83,5966.0,4.493,-0.02,0.961,1.049,0.0,340.7,2.409,9.3,226.0,0,0,0,0
CONFIRMED,13.81504449,1.0,0.034399,1.91,0.0903,88.06,391.0,5.52,3732.0,4.736,0.02,0.509,0.515,0.0,1032.6,2.3244,46.7,81.0,0,0,0,0
CONFIRMED,12.4128518,0.974,0.010188,1.5,0.1063,87.43,933.0,179.24,5945.0,4.196,-0.02,1.346,1.039,0.0,108.1,4.298,19.4,109.0,0,0,0,0
CONFIRMED,3.92453009,0.999,0.019616,1.82,0.0478,89.22,1074.0,314.25,5776.0,4.554,-0.18,0.849,0.939,0.0,463.5,3.691,25.3,289.0,0,0,0,0
CONFIRMED,11.60653061,1.0,0.024534,1.88,0.0885,89.97,584.0,27.47,4703.0,4.582,-0.14,0.701,0.686,0.0,771.7,2.194,17.8,118.0,0,0,0,0
CONFIRMED,2.66831274,1.0,0.015027,1.48,0.0376,87.65,1252.0,581.38,5806.0,4.528,-0.04,0.899,0.996,0.0,266.2,2.4141,23.3,503.0,0,0,0,0
FALSE POSITIVE,2.9322509,0.001,0.0126,1.33,0.0407,86.22,1312.0,700.81,6106.0,4.487,-0.16,0.966,1.043,0.0,181.2,2.931,13.1,364.0,0,0,1,0
CONFIRMED,23.4772553,0.993,0.010955,1.34,0.1633,89.97,738.0,70.05,6384.0,4.361,-0.24,1.121,1.046,0.0,141.4,6.735,17.6,56.0,0,0,0,0
CONFIRMED,66.5576728,0.956,0.013335,4.96,0.38,89.69,757.0,77.68,5734.0,3.591,0.26,3.405,1.648,0.0,214.2,10.532,21.3,22.0,0,0,0,0
FALSE POSITIVE,2.01948607,0.001,0.020811,2.15,0.0311,42.29,1430.0,988.37,5884.0,4.481,-0.1,0.944,0.985,0.0,275.4,5.248,27.9,561.0,0,0,1,0
FALSE POSITIVE,3.04468229,0.0,0.008074,0.86,0.0383,78.74,1244.0,566.03,5575.0,4.363,-0.24,0.98,0.81,0.0,71.4,5.951,22.2,447.0,0,0,1,1
FALSE POSITIVE,15.05028313,0.0,0.022798,2.46,0.1233,89.95,735.0,69.16,5887.0,4.49,0.21,0.989,1.102,0.0,615.2,1.848,13.4,86.0,0,0,1,0
CONFIRMED,2.455240626,0.999,0.170837,10.6,0.0298,89.35,730.0,67.3,3793.0,4.697,0.32,0.568,0.587,0.0,36912.0,1.72722,1341.6,546.0,0,0,0,0
CONFIRMED,9.08233411,0.918,0.015633,1.35,0.0815,89.56,734.0,68.75,5354.0,4.587,-0.08,0.788,0.884,0.0,296.9,2.008,15.8,298.0,0,0,0,0
FALSE POSITIVE,0.790539912,0.0,0.014827,1.24,0.0152,89.92,1502.0,1200.65,4791.0,4.541,0.1,0.767,0.747,0.0,277.3,1.0567,31.5,1690.0,0,0,1,0
FALSE POSITIVE,1.705782214,0.0,0.016508,1.82,0.0269,85.7,1455.0,1060.41,5387.0,4.38,0.18,1.009,0.89,0.0,278.0,1.007,11.5,1560.0,0,0,1,1
FALSE POSITIVE,0.532086296,0.0,0.222839,16.99,0.0118,13.57,1790.0,2417.28,5271.0,4.636,-0.4,0.698,0.773,0.0,495.8,4.023,85.2,2515.0,1,0,1,0
CONFIRMED,47.7052566,1.0,0.039415,2.89,0.2253,88.24,347.0,3.42,4551.0,4.609,-0.14,0.672,0.669,0.0,1161.5,5.959,22.8,17.0,0,0,0,0
CONFIRMED,6.238535444,1.0,0.018412,2.53,0.0685,89.97,1185.0,465.61,6267.0,4.28,-0.06,1.258,1.097,0.0,401.6,3.5255,274.5,210.0,0,0,0,0
CONFIRMED,86.829519,0.937,0.0332,1.68,0.3013,88.47,196.0,0.35,3576.0,4.791,0.16,0.463,0.482,0.0,751.0,7.464,15.1,14.0,0,0,0,0
CONFIRMED,9.95667035,0.998,0.028013,3.41,0.0921,83.62,946.0,189.48,6165.0,4.365,-0.08,1.115,1.048,0.0,586.8,3.534,16.8,54.0,0,0,0,0
CONFIRMED,10.41728722,0.996,0.013087,1.64,0.0914,89.65,870.0,135.34,5557.0,4.288,0.14,1.151,0.936,0.0,210.4,4.125,20.3,130.0,0,0,0,0
CONFIRMED,0.984941669,1.0,0.008209,1.49,0.0201,89.33,2335.0,7044.68,5825.0,4.046,0.14,1.662,1.121,0.0,81.4,1.9724,22.9,1087.0,0,0,0,0
CONFIRMED,0.663085361,1.0,0.019059,1.6,0.0141,71.76,1681.0,1894.94,5172.0,4.6,0.07,0.767,0.878,0.0,322.7,1.1522,35.3,1615.0,0,0,0,0
CONFIRMED,19.1187425,1.0,0.014589,2.33,0.1444,87.16,823.0,108.48,5862.0,4.148,0.16,1.463,1.097,0.0,217.5,6.805,20.5,73.0,0,0,0,0
FALSE POSITIVE,1.08749101,0.0,0.014029,4.91,0.0235,54.5,3081.0,21388.7,5988.0,3.594,-0.22,3.204,1.469,0.0,126.4,1.6192,33.5,1233.0,0,0,1,0
FALSE POSITIVE,1.183818383,0.0,0.008438,0.91,0.0222,88.49,1775.0,2337.65,6014.0,4.459,-0.06,0.992,1.029,0.0,84.3,1.393,12.7,904.0,0,0,1,0
FALSE POSITIVE,4.98845099,0.0,0.01264,1.33,0.0545,89.55,1055.0,292.71,5695.0,4.411,-0.2,0.961,0.868,0.0,193.9,7.453,23.3,217.0,0,0,1,1
CONFIRMED,3.543919702,1.0,0.020559,1.21,0.037,89.91,652.0,42.68,3879.0,4.708,-0.12,0.537,0.537,0.0,507.0,1.8717,38.2,360.0,0,0,0,0
CANDIDATE,8.28157072,0.427,0.010655,1.37,0.0795,89.88,956.0,197.82,5640.0,4.288,0.16,1.175,0.976,0.0,139.2,3.1,12.9,158.0,0,0,0,0
CANDIDATE,0.82628442,1.0,0.010598,0.96,0.0166,87.5,1629.0,1654.69,5218.0,4.548,0.16,0.829,0.886,0.0,134.9,0.9603,25.6,1620.0,0,0,0,0
CANDIDATE,6.37705295,1.0,0.02038,2.15,0.0691,89.46,935.0,180.66,5672.0,4.503,0.36,0.965,1.08,0.0,502.8,1.949,17.9,181.0,0,0,0,0
CONFIRMED,8.83929462,0.999,0.020396,1.94,0.0795,86.88,778.0,86.5,5330.0,4.491,0.04,0.87,0.855,0.0,316.2,1.719,14.8,148.0,0,0,0,0
FALSE POSITIVE,0.631795416,0.0,0.011358,1.88,0.0155,84.05,2797.0,14547.08,6414.0,4.173,-0.04,1.519,1.256,0.0,145.2,1.0703,24.7,1049.0,0,1,1,0
CONFIRMED,7.56126152,0.992,0.012323,1.2,0.0751,89.27,891.0,149.17,5853.0,4.529,-0.1,0.895,0.99,0.0,180.6,2.851,15.7,136.0,0,0,0,0
CONFIRMED,34.9897847,0.985,0.020074,1.14,0.1691,89.97,292.0,1.71,3765.0,4.725,0.02,0.521,0.526,0.0,498.5,4.208,11.5,40.0,0,0,0,0
CONFIRMED,7.05429483,0.983,0.017602,1.0,0.0581,89.02,497.0,14.46,3765.0,4.725,0.02,0.521,0.526,0.0,359.3,1.716,11.2,188.0,0,0,0,0
CANDIDATE,2.27050106,0.911,0.009599,0.55,0.0275,86.68,903.0,157.05,4671.0,4.721,-1.3,0.528,0.534,0.0,106.7,1.903,15.9,586.0,0,0,0,0
CONFIRMED,26.7838935,1.0,0.017057,1.59,0.1673,89.95,523.0,17.69,5242.0,4.512,0.14,0.856,0.869,0.0,365.3,4.584,20.9,50.0,0,0,0,0
CONFIRMED,45.126216,1.0,0.018205,2.32,0.263,89.39,604.0,31.54,6499.0,4.378,-0.1,1.169,1.191,0.0,373.1,6.656,17.1,22.0,0,0,0,0
CONFIRMED,11.94019101,0.986,0.022753,1.86,0.096,89.35,625.0,35.99,5073.0,4.607,0.07,0.748,0.856,0.0,631.7,2.866,15.6,111.0,0,0,0,0
